date,published,value
1919-01-01,1972-10-01,13.9
1919-02-01,1972-10-01,13.3
1919-03-01,1972-10-01,12.9
1919-04-01,1972-10-01,13.1
1919-05-01,1972-10-01,13.2
1919-06-01,1972-10-01,14.0
1919-07-01,1972-10-01,14.8
1919-08-01,1972-10-01,15.1
1919-09-01,1972-10-01,14.8
1919-10-01,1972-10-01,14.6
1919-11-01,1972-10-01,14.4
1919-12-01,1972-10-01,14.7
1920-01-01,1972-10-01,16.0
1920-02-01,1972-10-01,16.0
1920-03-01,1972-10-01,15.7
1920-04-01,1972-10-01,14.8
1920-05-01,1972-10-01,15.3
1920-06-01,1972-10-01,15.4
1920-07-01,1972-10-01,15.0
1920-08-01,1972-10-01,15.1
1920-09-01,1972-10-01,14.5
1920-10-01,1972-10-01,13.9
1920-11-01,1972-10-01,12.8
1920-12-01,1972-10-01,12.0
1921-01-01,1972-10-01,11.3
1921-02-01,1972-10-01,11.1
1921-03-01,1972-10-01,10.8
1921-04-01,1972-10-01,10.8
1921-05-01,1972-10-01,11.1
1921-06-01,1972-10-01,11.0
1921-07-01,1972-10-01,10.9
1921-08-01,1972-10-01,11.3
1921-09-01,1972-10-01,11.4
1921-10-01,1972-10-01,12.1
1921-11-01,1972-10-01,11.9
1921-12-01,1972-10-01,11.8
1922-01-01,1972-10-01,12.3
1922-02-01,1972-10-01,12.8
1922-03-01,1972-10-01,13.5
1922-04-01,1972-10-01,13.0
1922-05-01,1972-10-01,13.7
1922-06-01,1972-10-01,14.5
1922-07-01,1972-10-01,14.5
1922-08-01,1972-10-01,14.2
1922-09-01,1972-10-01,14.9
1922-10-01,1972-10-01,15.8
1922-11-01,1972-10-01,16.4
1922-12-01,1972-10-01,16.9
1923-01-01,1972-10-01,16.5
1923-02-01,1972-10-01,16.8
1923-03-01,1972-10-01,17.3
1923-04-01,1972-10-01,17.7
1923-05-01,1972-10-01,17.9
1923-06-01,1972-10-01,17.7
1923-07-01,1972-10-01,17.6
1923-08-01,1972-10-01,17.3
1923-09-01,1972-10-01,16.9
1923-10-01,1972-10-01,16.8
1923-11-01,1972-10-01,16.8
1923-12-01,1972-10-01,16.4
1924-01-01,1972-10-01,16.8
1924-02-01,1972-10-01,17.1
1924-03-01,1972-10-01,16.8
1924-04-01,1972-10-01,16.3
1924-05-01,1972-10-01,15.6
1924-06-01,1972-10-01,14.9
1924-07-01,1972-10-01,14.7
1924-08-01,1972-10-01,15.2
1924-09-01,1972-10-01,15.8
1924-10-01,1972-10-01,16.1
1924-11-01,1972-10-01,16.5
1924-12-01,1972-10-01,16.9
1925-01-01,1972-10-01,17.5
1925-02-01,1972-10-01,17.5
1925-03-01,1972-10-01,17.4
1925-04-01,1972-10-01,17.6
1925-05-01,1972-10-01,17.5
1925-06-01,1972-10-01,17.4
1925-07-01,1972-10-01,17.8
1925-08-01,1972-10-01,17.5
1925-09-01,1972-10-01,17.3
1925-10-01,1972-10-01,17.9
1925-11-01,1972-10-01,18.3
1925-12-01,1972-10-01,18.6
1926-01-01,1972-10-01,18.3
1926-02-01,1972-10-01,18.3
1926-03-01,1972-10-01,18.5
1926-04-01,1972-10-01,18.5
1926-05-01,1972-10-01,18.4
1926-06-01,1972-10-01,18.6
1926-07-01,1972-10-01,18.7
1926-08-01,1972-10-01,18.9
1926-09-01,1972-10-01,19.2
1926-10-01,1972-10-01,19.2
1926-11-01,1972-10-01,19.1
1926-12-01,1972-10-01,19.1
1927-01-01,1972-10-01,19.0
1927-02-01,1972-10-01,19.1
1927-03-01,1972-10-01,19.4
1927-04-01,1972-10-01,18.9
1927-05-01,1972-10-01,19.0
1927-06-01,1972-10-01,19.0
1927-07-01,1972-10-01,18.8
1927-08-01,1972-10-01,18.7
1927-09-01,1972-10-01,18.4
1927-10-01,1972-10-01,18.1
1927-11-01,1972-10-01,18.1
1927-12-01,1972-10-01,18.2
1928-01-01,1972-10-01,18.5
1928-02-01,1972-10-01,18.7
1928-03-01,1972-10-01,18.8
1928-04-01,1972-10-01,18.8
1928-05-01,1972-10-01,19.0
1928-06-01,1972-10-01,19.1
1928-07-01,1972-10-01,19.3
1928-08-01,1972-10-01,19.7
1928-09-01,1972-10-01,19.9
1928-10-01,1972-10-01,20.3
1928-11-01,1972-10-01,20.7
1928-12-01,1972-10-01,21.0
1929-01-01,1972-10-01,21.4
1929-02-01,1972-10-01,21.2
1929-03-01,1972-10-01,21.3
1929-04-01,1972-10-01,21.7
1929-05-01,1972-10-01,22.1
1929-06-01,1972-10-01,22.3
1929-07-01,1972-10-01,22.6
1929-08-01,1972-10-01,22.3
1929-09-01,1972-10-01,22.2
1929-10-01,1972-10-01,21.8
1929-11-01,1972-10-01,20.7
1929-12-01,1972-10-01,19.8
1930-01-01,1972-10-01,19.9
1930-02-01,1972-10-01,19.7
1930-03-01,1972-10-01,19.4
1930-04-01,1972-10-01,19.3
1930-05-01,1972-10-01,19.0
1930-06-01,1972-10-01,18.5
1930-07-01,1972-10-01,17.6
1930-08-01,1972-10-01,17.2
1930-09-01,1972-10-01,16.9
1930-10-01,1972-10-01,16.5
1930-11-01,1972-10-01,16.1
1930-12-01,1972-10-01,15.7
1931-01-01,1972-10-01,15.6
1931-02-01,1972-10-01,15.7
1931-03-01,1972-10-01,16.0
1931-04-01,1972-10-01,16.1
1931-05-01,1972-10-01,15.8
1931-06-01,1972-10-01,15.5
1931-07-01,1972-10-01,15.2
