date,value
1973-01-03,162.0040
1973-01-10,161.6300
1973-01-17,161.3340
1973-01-24,160.7080
1973-01-31,161.4900
1973-02-07,159.9680
1973-02-14,159.1010
1973-02-21,157.6290
1973-02-28,157.8430
1973-03-07,157.9580
1973-03-14,157.9970
1973-03-21,158.1170
1973-03-28,158.2440
1973-04-04,158.2760
1973-04-11,158.6300
1973-04-18,158.1500
1973-04-25,158.3750
1973-05-02,158.2170
1973-05-09,157.9140
1973-05-16,156.3240
1973-05-23,156.1780
1973-05-30,157.4670
1973-06-06,157.9960
1973-06-13,157.9390
1973-06-20,157.3600
1973-06-27,157.5480
1973-07-04,157.5630
1973-07-11,157.5640
1973-07-18,157.0870
1973-07-25,157.5140
1973-08-01,156.9690
1973-08-08,157.0480
1973-08-15,158.4750
1973-08-22,157.4670
1973-08-29,157.5950
1973-09-05,159.3330
1973-09-12,159.9160
1973-09-19,158.8260
1973-09-26,159.2030
1973-10-03,159.8790
1973-10-10,161.0380
1973-10-17,160.3250
1973-10-24,161.2490
1973-10-31,162.2500
1973-11-07,164.2520
1973-11-14,163.5060
1973-11-21,164.5400
1973-11-28,163.8710
1973-12-05,166.6150
1973-12-12,167.3690
1973-12-19,166.3880
1973-12-26,166.7270
1974-01-02,167.5150
1974-01-09,168.2730
1974-01-16,168.1900
1974-01-23,168.6320
1974-01-30,168.5780
1974-02-06,168.7440
1974-02-13,167.7040
1974-02-20,168.1740
1974-02-27,168.4690
1974-03-06,170.8960
1974-03-13,170.9270
1974-03-20,169.6980
1974-03-27,169.8760
1974-04-03,170.9240
1974-04-10,171.7630
1974-04-17,171.3810
1974-04-24,169.8620
1974-05-01,169.3510
1974-05-08,169.8410
1974-05-15,169.1840
1974-05-22,168.2150
1974-05-29,168.1880
1974-06-05,169.4030
1974-06-12,169.9190
1974-06-19,169.1820
1974-06-26,168.3810
1974-07-03,167.7350
1974-07-10,167.2630
1974-07-17,166.7270
1974-07-24,166.6360
1974-07-31,167.7050
1974-08-07,168.5050
1974-08-14,168.1880
1974-08-21,167.0980
1974-08-28,167.3450
1974-09-04,167.5120
1974-09-11,168.4450
1974-09-18,167.3770
1974-09-25,166.6650
1974-10-02,166.1720
1974-10-09,166.6600
1974-10-16,167.0880
1974-10-23,166.4790
1974-10-30,167.2510
1974-11-06,168.2160
1974-11-13,169.0560
1974-11-20,169.1800
1974-11-27,168.6940
1974-12-04,169.7550
1974-12-11,171.3390
1974-12-18,172.5960
1974-12-25,172.7400
1975-01-01,173.2010
1975-01-08,173.3810
1975-01-15,172.9770
1975-01-22,171.8390
1975-01-29,170.8650
1975-02-05,171.0380
1975-02-12,171.2390
1975-02-19,172.7040
1975-02-26,172.0440
1975-03-05,175.3850
1975-03-12,176.3860
1975-03-19,176.9440
1975-03-26,178.0660
1975-04-02,179.3740
1975-04-09,181.9080
1975-04-16,182.8850
1975-04-23,181.6110
1975-04-30,182.6760
1975-05-07,183.4450
1975-05-14,183.6750
1975-05-21,183.8520
1975-05-28,184.1980
1975-06-04,184.7070
1975-06-11,187.6550
1975-06-18,189.0760
1975-06-25,187.6700
1975-07-02,188.1340
1975-07-09,188.3410
1975-07-16,189.1040
1975-07-23,189.6340
1975-07-30,189.7370
1975-08-06,190.7880
1975-08-13,191.8060
1975-08-20,192.5990
1975-08-27,192.7060
1975-09-03,194.3200
1975-09-10,196.2740
1975-09-17,196.6380
1975-09-24,196.5540
1975-10-01,197.0610
1975-10-08,197.6990
1975-10-15,197.3860
1975-10-22,198.0680
1975-10-29,197.4660
1975-11-05,200.2840
1975-11-12,200.2610
1975-11-19,200.5400
1975-11-26,201.6100
1975-12-03,201.9040
1975-12-10,204.0980
1975-12-17,205.6220
1975-12-24,204.8070
1975-12-31,206.4040
1976-01-07,205.1150
1976-01-14,205.8720
1976-01-21,204.5120
1976-01-28,205.4680
1976-02-04,205.7580
1976-02-11,205.6660
1976-02-18,206.8680
1976-02-25,205.7770
1976-03-03,206.5870
1976-03-10,207.3470
1976-03-17,209.7660
1976-03-24,209.8660
1976-03-31,209.9500
1976-04-07,213.2270
1976-04-14,213.9600
1976-04-21,214.4530
1976-04-28,212.2240
1976-05-05,212.2730
1976-05-12,212.4000
1976-05-19,213.5710
1976-05-26,212.0890
1976-06-02,213.6700
1976-06-09,213.6530
1976-06-16,214.1050
1976-06-23,212.5410
1976-06-30,213.7480
1976-07-07,211.4710
1976-07-14,212.7460
1976-07-21,212.3570
1976-07-28,212.0330
1976-08-04,213.9230
1976-08-11,213.5960
1976-08-18,214.8040
1976-08-25,214.6370
1976-09-01,214.6050
1976-09-08,214.3400
1976-09-15,215.8310
1976-09-22,216.1960
1976-09-29,216.6460
1976-10-06,216.5830
1976-10-13,217.7280
1976-10-20,217.7690
1976-10-27,217.6960
1976-11-03,217.9870
1976-11-10,218.6820
1976-11-17,222.5300
1976-11-24,222.8500
1976-12-01,223.2060
1976-12-08,224.7370
1976-12-15,227.0690
1976-12-22,227.1740
1976-12-29,228.1060
1977-01-05,226.9660
1977-01-12,227.8900
1977-01-19,226.9860
1977-01-26,225.5940
1977-02-02,224.9170
1977-02-09,226.4150
1977-02-16,228.1180
1977-02-23,227.9080
1977-03-02,229.0290
1977-03-09,230.5620
1977-03-16,231.3320
1977-03-23,230.4180
1977-03-30,230.1230
1977-04-06,232.3770
1977-04-13,231.7770
1977-04-20,234.2110
1977-04-27,231.7090
1977-05-04,231.7030
1977-05-11,232.3400
1977-05-18,231.6140
1977-05-25,231.0580
1977-06-01,230.7590
1977-06-08,232.4310
1977-06-15,234.0720
1977-06-22,231.8100
1977-06-29,230.9390
1977-07-06,229.7890
1977-07-13,230.7890
1977-07-20,231.0920
1977-07-27,229.7160
1977-08-03,229.8650
1977-08-10,229.3460
1977-08-17,230.8620
1977-08-24,230.4020
1977-08-31,230.2090
1977-09-07,231.8910
1977-09-14,231.3280
1977-09-21,231.1270
1977-09-28,230.0360
1977-10-05,229.1360
1977-10-12,228.8110
1977-10-19,230.6350
1977-10-26,230.5120
